Common Name,Latin Name
Yarrow,Achillea millefolium
Anise Hyssop,Agastache foeniculum
"Milkweed, poke",Asclepias exaltata
"Milkweed, Rose",Asclepias incarnata
"Milkweed, Butterfly",Asclepias tuberosa
"Milkweed, Whorled",Asclepias verticillata
Blue Wild Indigo,Baptisia australis
Indigo Wild Cream,Baptisia bracteata
Dwarf Blue Indigo ,Baptisia minor
Swamp marigold,Bidens aristosa
Downy woodmint,Blephilia ciliata
River Oats,Chasmanthium latifolium
Mistflower,Conoclinium coelestinum
"Coreopsis, Lanceleaf",Coreopsis lanceolata
Echinacea,Echinacea purpurea
Rattlesnake master,Eryngium yuccifolium
Boneset,Eupatorium perfoliatum
"Joe Pye Weed, Little",Eutrochium dubium
"Joe Pye Weed, Hollow",Eutrochium fistulosum
Joe Pye Weed,Eutrochium maculatum
"Joe Pye Weed, Sweet",Eutrochium purpureum
"Sunflower, Woodland",Helianthus divaricatus
"Sunflower, Western",Helianthus occidentalis
Rose Mallow,Hibiscus laevis
Hibiscus,Hibiscus sabdariffa
"St. Johns wort, Dotted",Hypericum punctatum
Elecampane,Inula helenium
Round Headed Bush Clover,Lespedeza capitata
Cardinal Flower,Lobelia cardinalis
peppermint,Mentha piperita
Spearmint,Mentha spicata
"Monarda, Bee Balm",Monarda didyma
"Monarda, Wild Bergamot",Monarda fistulosa
Spotted Bee Balm,Monarda punctata
Catnip,Nepeta cataria
"Holy Basil, Tulsi",Ocimum tenuiflorum
Marjoram,origanum marjoram
Oregano,origanum vulgare
Passionflower,Passiflora incarnata
"Mtn. Mint, Clustered",Pycnanthemum muticum 
"Mtn. Mint, Slender",Pycnanthemum tenuifolium
"Mtn. Mint, Hairy",Pycnanthemum verticillatum
Mtn Mint,Pycnanthemum virginianum
Grey Headed Coneflower,Ratibida pinata
Rosemary,Rosmarinus officinalis
Orange Coneflower,Rudebeckia fulgida
Black Eyed Susan,Rudebeckia hirta
Cutleaf Coneflower,Rudebeckia laciniata
Sweet Black Eyed  Susan,Rudebeckia subtomentosa
Brown Eyed Susan,Rudebeckia triloba
Blue Sage,Salvia azurea
Blue Salvia,Salvia horminum
pink Salvia,Salvia horminum
Sage,Salvia officinalis
Little Blue Stem,Schizachyrium scoparium
"Skullcap, Hoary",Scutellaria incana
"Skullcap, Mad dog",Scutellaria lateriflora
Royal Catchfly,Silene regia
Calico Aster,Symphyotrichum lateriflorum
Frost Aster,Symphyotrichum pilosum
Shorts Aster,Symphyotrichum shortii
Thyme,Thymus vulgaris
Nasturtium,Tropaeolum majus
Stinging Nettle,Urtica dioica
Valerian,Valerian officinalis
Blue Vervain,Verbena hastata
Common Ironweed,Vernonia fascicultata
"Ironweed, Missouri",Vernonia missurica
